qname,A_pos,A_strand,B_pos,B_strand,A_AS,A_XS,A_score_gap,A_MAPQ,A_MAPQ_clean,A_NM,A_candidate_count,A_rank,expected_B_center,target_z,target_width,bowtie_fixed_width,TLEN_for_evaluation_only,primary
r5002,5192,-,4975,+,-5,,,255,,4,1,1,5024.0,49.0,98.0,500,-299,True
r5003,20336,+,20336,-,0,,,255,,0,1,1,20446.0,110.0,220.0,500,140,True
r5007,40590,-,40353,+,-1,,,255,,1,1,1,40380.0,27.0,54.0,500,-277,True
r5008,649,-,548,+,-5,,,255,,2,1,1,579.0,31.0,62.0,500,-281,True
r5009,18144,+,18323,-,-6,,,255,,2,1,1,18265.0,58.0,116.0,500,308,True
r5010,41112,+,41353,-,-19,,,255,,5,1,1,41304.0,49.0,98.0,500,299,True
r5011,36465,-,36272,+,0,,,255,,0,1,1,36275.0,3.0,6.0,500,-253,True
r5012,15968,-,15737,+,-10,,,255,,7,1,1,15849.0,112.0,224.0,500,-362,True
r5013,41922,+,42074,-,0,,,255,,0,1,1,42088.0,14.0,28.0,500,236,True
r5014,28762,+,28897,-,0,,,255,,0,1,1,28922.0,25.0,50.0,500,225,True
r5015,775,-,659,+,-4,,,255,,4,1,1,611.0,48.0,96.0,500,-202,True
r5016,29905,-,29806,+,-6,,,255,,3,1,1,29757.0,49.0,98.0,500,-201,True
r5017,28103,+,28281,-,0,,,255,,0,1,1,28299.0,18.0,36.0,500,232,True
r5018,19862,+,20095,-,-2,,,255,,1,1,1,20044.0,51.0,102.0,500,301,True
r5019,24346,-,24132,+,-3,,,255,,1,1,1,24175.0,43.0,86.0,500,-293,True
r5021,10236,+,10236,-,0,,,255,,0,1,1,10320.0,84.0,168.0,500,166,True
r5022,25454,-,25262,+,-1,,,255,,1,1,1,25261.0,1.0,2.0,500,-249,True
r5023,47936,+,48117,-,0,,,255,,0,1,1,48092.0,25.0,50.0,500,275,True
r5024,30617,-,30381,+,-1,,,255,,1,1,1,30454.0,73.0,146.0,500,-323,True
r5025,44632,+,44785,-,-3,,,255,,3,1,1,44801.0,16.0,32.0,500,234,True
r5027,19623,+,19881,-,0,,,255,,0,1,1,19821.0,60.0,120.0,500,310,True
r5028,35946,-,35790,+,-1,,,255,,1,1,1,35763.0,27.0,54.0,500,-223,True
r5029,10519,+,10683,-,0,,,255,,0,1,1,10654.0,29.0,58.0,500,279,True
r5030,10017,-,9837,+,-2,,,255,,2,1,1,9904.0,67.0,134.0,500,-317,True
r5031,46563,-,46360,+,-3,,,255,,1,1,1,46369.0,9.0,18.0,500,-259,True
r5032,43551,+,43813,-,-10,,,255,,8,1,1,43737.0,76.0,152.0,500,326,True
r5033,29137,-,29070,+,0,,,255,,0,1,1,29026.0,44.0,88.0,500,-206,True
r5034,13736,+,13736,-,-31,,,255,,23,1,1,13886.0,150.0,300.0,500,100,True
r5035,41936,+,42040,-,0,,,255,,0,1,1,42034.0,6.0,12.0,500,256,True
r5036,20023,+,20287,-,-6,,,255,,3,1,1,20206.0,81.0,162.0,500,331,True
r5037,40507,-,40507,+,-8,,,255,,7,1,1,40624.0,117.0,234.0,500,-194,True
r5038,43911,+,44155,-,0,,,255,,0,1,1,44080.0,75.0,150.0,500,325,True
r5039,26492,-,26289,+,-1,,,255,,1,1,1,26328.0,39.0,78.0,500,-289,True
r5040,924,+,1002,-,0,,,255,,0,1,1,992.0,10.0,20.0,500,260,True
r5041,24301,+,24430,-,-11,,,255,,6,1,1,24432.0,2.0,4.0,500,248,True
r5042,37334,-,37303,+,-9,,,255,,5,1,1,37312.0,9.0,18.0,500,-259,True
r5043,7951,-,7798,+,-6,,,255,,2,1,1,7782.0,16.0,32.0,500,-234,True
r5044,40254,-,40254,+,-24,,,255,,17,1,1,40284.0,30.0,60.0,500,-220,True
r5045,31869,-,31668,+,-12,,,255,,9,1,1,31713.0,45.0,90.0,500,-295,True
r5046,3431,+,3564,-,-7,,,255,,3,1,1,3621.0,57.0,114.0,500,193,True
r5047,1811,-,1744,+,-6,,,255,,3,1,1,1703.0,41.0,82.0,500,-209,True
r5048,18751,+,18911,-,0,,,255,,0,1,1,18942.0,31.0,62.0,500,219,True
r5049,42985,-,42982,+,-1,,,255,,1,1,1,42948.0,34.0,68.0,500,-216,True
r5050,34970,+,35117,-,-9,,,255,,4,1,1,35102.0,15.0,30.0,500,265,True
r5051,12112,-,11954,+,0,,,255,,0,1,1,11932.0,22.0,44.0,500,-228,True
r5052,33734,-,33669,+,-7,,,255,,3,1,1,33712.0,43.0,86.0,500,-293,True
r5053,25546,+,25721,-,-8,,,255,,2,1,1,25732.0,11.0,22.0,500,239,True
r5054,27512,+,27629,-,-3,,,255,,3,1,1,27654.0,25.0,50.0,500,225,True
r5055,3301,-,3301,+,-15,,,255,,5,1,1,3330.0,29.0,58.0,500,-226,True
r5056,27955,+,28127,-,0,,,255,,0,1,1,28118.0,9.0,18.0,500,259,True
r5058,39176,+,39309,-,-9,,,255,,5,1,1,39308.0,1.0,2.0,500,251,True
r5059,9611,+,9874,-,-10,,,255,,5,1,1,9817.0,57.0,114.0,500,307,True
r5060,16571,-,16552,+,-1,,,255,,1,1,1,16558.0,6.0,12.0,500,-256,True
r5061,27685,+,27830,-,-1,,,255,,1,1,1,27853.0,23.0,46.0,500,227,True
r5062,40894,+,41028,-,-22,,,255,,16,1,1,41051.0,23.0,46.0,500,227,True
r5063,40222,-,40102,+,-12,,,255,,3,1,1,40115.0,13.0,26.0,500,-263,True
r5065,39366,+,39583,-,-4,,,255,,4,1,1,39497.0,86.0,172.0,500,336,True
r5066,11794,+,12046,-,-5,,,255,,4,1,1,12002.0,44.0,88.0,500,294,True
r5067,14274,+,14428,-,-1,,,255,,1,1,1,14338.0,90.0,180.0,500,340,True
r5068,46401,+,46457,-,-11,,,255,,8,1,1,46525.0,68.0,136.0,500,182,True
r5069,14729,-,14496,+,-5,,,255,,1,1,1,14523.0,27.0,54.0,500,-277,True
r5070,32568,+,32757,-,0,,,255,,0,1,1,32764.0,7.0,14.0,500,243,True
r5072,30612,+,30797,-,0,,,255,,0,1,1,30816.0,19.0,38.0,500,231,True
r5073,2464,+,2464,-,0,,,255,,0,1,1,2520.0,56.0,112.0,500,194,True
r5074,38912,-,38859,+,-8,,,255,,1,1,1,38832.0,27.0,54.0,500,-223,True
r5075,31989,-,31810,+,-2,,,255,,1,1,1,31811.0,1.0,2.0,500,-251,True
r5076,46561,-,46505,+,-4,,,255,,3,1,1,46453.0,52.0,104.0,500,-198,True
r5077,48344,-,48153,+,0,,,255,,0,1,1,48142.0,11.0,22.0,500,-239,True
r5078,37207,+,37280,-,-4,,,255,,2,1,1,37220.0,60.0,120.0,500,310,True
r5079,36628,-,36628,+,-6,,,255,,3,1,1,36662.0,34.0,68.0,500,-297,True
r5080,41789,+,41789,-,-4,,,255,,1,1,1,41755.0,34.0,68.0,500,284,True
r5081,46875,-,46652,+,0,,,255,,0,1,1,46674.0,22.0,44.0,500,-272,True
r5082,31248,-,31092,+,0,,,255,,0,1,1,31058.0,34.0,68.0,500,-216,True
r5083,46790,+,46987,-,-12,,,255,,7,1,1,46991.0,4.0,8.0,500,246,True
r5084,5171,-,5100,+,-6,,,255,,2,1,1,5075.0,25.0,50.0,500,-225,True
r5085,47357,+,47608,-,0,,,255,,0,1,1,47488.0,120.0,240.0,500,370,True
r5086,16230,-,16107,+,-32,,,255,,26,1,1,16117.0,10.0,20.0,500,-260,True
r5087,38233,+,38337,-,-2,,,255,,1,1,1,38370.0,33.0,66.0,500,217,True
r5088,9507,+,9634,-,0,,,255,,0,1,1,9671.0,37.0,74.0,500,213,True
r5089,22037,-,21769,+,-1,,,255,,1,1,1,21854.0,85.0,170.0,500,-335,True
r5090,21363,+,21478,-,0,,,255,,0,1,1,21506.0,28.0,56.0,500,222,True
r5091,41962,-,41861,+,0,,,255,,0,1,1,41819.0,42.0,84.0,500,-208,True
r5092,32167,+,32229,-,-9,,,255,,2,1,1,32255.0,26.0,52.0,500,224,True
r5094,2475,-,2264,+,0,,,255,,0,1,1,2349.0,85.0,170.0,500,-335,True
r5095,31693,-,31568,+,-3,,,255,,2,1,1,31584.0,16.0,32.0,500,-266,True
r5096,3345,+,3387,-,-4,,,255,,3,1,1,3459.0,72.0,144.0,500,178,True
r5097,16302,+,16531,-,-3,,,255,,2,1,1,16459.0,72.0,144.0,500,322,True
r5099,45449,-,45449,+,-20,,,255,,7,1,1,45590.0,141.0,282.0,500,-202,True
r5100,26341,-,26203,+,0,,,255,,0,1,1,26166.0,37.0,74.0,500,-213,True
r5101,1049,-,891,+,-2,,,255,,1,1,1,934.0,43.0,86.0,500,-293,True
r5102,28270,-,28096,+,-4,,,255,,1,1,1,28094.0,2.0,4.0,500,-248,True
r5103,17875,+,17964,-,-11,,,255,,7,1,1,18003.0,39.0,78.0,500,211,True
r5104,2256,-,2169,+,0,,,255,,0,1,1,2137.0,32.0,64.0,500,-218,True
r5105,23456,+,23604,-,-1,,,255,,1,1,1,23611.0,7.0,14.0,500,243,True
r5106,35065,+,35178,-,0,,,255,,0,1,1,35181.0,3.0,6.0,500,247,True
r5107,23890,+,24124,-,-1,,,255,,1,1,1,24081.0,43.0,86.0,500,293,True
r5108,5051,-,4845,+,-1,,,255,,1,1,1,4865.0,20.0,40.0,500,-270,True
r5109,31678,+,31780,-,-2,,,255,,2,1,1,31765.0,15.0,30.0,500,265,True
r5110,17680,+,17774,-,0,,,255,,0,1,1,17885.0,111.0,222.0,500,139,True
r5111,6048,-,5962,+,-1,,,255,,1,1,1,5915.0,47.0,94.0,500,-203,True
r5112,38942,-,38917,+,-8,,,255,,1,1,1,38942.0,25.0,50.0,500,-275,True
r5113,38138,-,37893,+,-1,,,255,,1,1,1,37952.0,59.0,118.0,500,-309,True
r5115,13164,+,13164,-,-8,,,255,,4,1,1,13252.0,88.0,176.0,500,162,True
r5116,16234,-,16102,+,0,,,255,,0,1,1,16073.0,29.0,58.0,500,-221,True
r5117,27439,+,27442,-,-15,,,255,,6,1,1,27491.0,49.0,98.0,500,201,True
r5118,32386,+,32530,-,0,,,255,,0,1,1,32560.0,30.0,60.0,500,220,True
r5119,45435,+,45436,-,0,,,255,,0,1,1,45404.0,32.0,64.0,500,282,True
r5120,42002,-,41815,+,-1,,,255,,1,1,1,41855.0,40.0,80.0,500,-290,True
r5121,31061,+,31168,-,-4,,,255,,1,1,1,31175.0,7.0,14.0,500,243,True
r5122,2746,+,2746,-,-10,,,255,,8,1,1,2828.0,82.0,164.0,500,168,True
r5123,34050,+,34239,-,0,,,255,,0,1,1,34149.0,90.0,180.0,500,340,True
r5124,30067,+,30367,-,0,,,255,,0,1,1,30263.0,104.0,208.0,500,354,True
r5126,36654,-,36496,+,0,,,255,,0,1,1,36467.0,29.0,58.0,500,-221,True
r5127,18558,+,18656,-,-7,,,255,,5,1,1,18650.0,6.0,12.0,500,256,True
r5128,35593,+,35747,-,0,,,255,,0,1,1,35754.0,7.0,14.0,500,243,True
r5129,9481,-,9300,+,-1,,,255,,1,1,1,9333.0,33.0,66.0,500,-283,True
r5130,35147,-,34904,+,-6,,,255,,2,1,1,34954.0,50.0,100.0,500,-300,True
r5131,6885,+,7022,-,-4,,,255,,1,1,1,7044.0,22.0,44.0,500,228,True
r5133,42170,-,41992,+,0,,,255,,0,1,1,41972.0,20.0,40.0,500,-230,True
r5134,721,+,825,-,-8,,,255,,5,1,1,855.0,30.0,60.0,500,220,True
r5135,40433,+,40652,-,-7,,,255,,3,1,1,40600.0,52.0,104.0,500,302,True
r5136,40854,+,40993,-,-10,,,255,,6,1,1,41020.0,27.0,54.0,500,223,True
r5137,7828,+,7968,-,-6,,,255,,3,1,1,7966.0,2.0,4.0,500,252,True
r5138,19843,-,19734,+,-1,,,255,,1,1,1,19687.0,47.0,94.0,500,-203,True
r5139,4195,+,4396,-,-3,,,255,,1,1,1,4385.0,11.0,22.0,500,261,True
r5140,23836,+,23836,-,-9,,,255,,6,1,1,23914.0,78.0,156.0,500,172,True
r5141,20340,+,20340,-,-1,,,255,,1,1,1,20351.0,11.0,22.0,500,239,True
r5142,9669,+,9812,-,0,,,255,,0,1,1,9814.0,2.0,4.0,500,248,True
r5144,1717,+,1817,-,0,,,255,,0,1,1,1839.0,22.0,44.0,500,228,True
r5145,39849,-,39791,+,-23,,,255,,8,1,1,39770.0,21.0,42.0,500,-229,True
r5146,17712,+,17712,-,-6,,,255,,5,1,1,17689.0,23.0,46.0,500,273,True
r5147,17513,+,17724,-,-2,,,255,,1,1,1,17671.0,53.0,106.0,500,303,True
r5148,19486,-,19274,+,-2,,,255,,2,1,1,19292.0,18.0,36.0,500,-268,True
r5149,17350,+,17572,-,-22,,,255,,13,1,1,17548.0,24.0,48.0,500,274,True
r5150,18831,-,18769,+,-26,,,255,,8,1,1,18854.0,85.0,170.0,500,-335,True
r5151,33620,+,33822,-,-2,,,255,,2,1,1,33811.0,11.0,22.0,500,261,True
r5152,9197,+,9330,-,-6,,,255,,3,1,1,9376.0,46.0,92.0,500,204,True
r5153,41633,-,41469,+,-16,,,255,,6,1,1,41475.0,6.0,12.0,500,-256,True
r5154,16331,+,16418,-,-9,,,255,,6,1,1,16454.0,36.0,72.0,500,214,True
r5156,4258,-,4167,+,0,,,255,,0,1,1,4139.0,28.0,56.0,500,-222,True
r5157,15158,+,15281,-,-1,,,255,,1,1,1,15275.0,6.0,12.0,500,256,True
r5158,48060,+,48225,-,-3,,,255,,2,1,1,48181.0,44.0,88.0,500,294,True
r5159,42192,-,42152,+,-2,,,255,,2,1,1,42133.0,19.0,38.0,500,-231,True
r5160,1849,-,1721,+,-2,,,255,,2,1,1,1707.0,14.0,28.0,500,-236,True
r5161,18019,-,18019,+,-5,,,255,,3,1,1,18225.0,206.0,412.0,500,-293,True
r5162,35821,-,35642,+,0,,,255,,0,1,1,35647.0,5.0,10.0,500,-255,True
r5163,12056,-,11823,+,0,,,255,,0,1,1,11848.0,25.0,50.0,500,-275,True
r5164,3180,-,3090,+,-12,,,255,,3,1,1,3099.0,9.0,18.0,500,-259,True
r5166,19941,+,20067,-,-7,,,255,,3,1,1,20133.0,66.0,132.0,500,184,True
r5167,6000,+,6146,-,-1,,,255,,1,1,1,6148.0,2.0,4.0,500,248,True
r5169,38820,+,39000,-,-4,,,255,,3,1,1,39027.0,27.0,54.0,500,223,True
r5170,1768,+,1898,-,0,,,255,,0,1,1,1938.0,40.0,80.0,500,210,True
r5171,12396,+,12459,-,-17,,,255,,4,1,1,12517.0,58.0,116.0,500,192,True
r5172,19122,+,19257,-,0,,,255,,0,1,1,19330.0,73.0,146.0,500,177,True
r5173,127,+,267,-,-6,,,255,,3,1,1,132.0,135.0,270.0,500,385,True
r5174,41449,-,41305,+,0,,,255,,0,1,1,41268.0,37.0,74.0,500,-213,True
r5175,26445,-,26202,+,0,,,255,,0,1,1,26237.0,35.0,70.0,500,-285,True
r5176,27788,-,27594,+,0,,,255,,0,1,1,27642.0,48.0,96.0,500,-298,True
r5178,19947,-,19784,+,-1,,,255,,1,1,1,19761.0,23.0,46.0,500,-227,True
r5179,36308,+,36464,-,-1,,,255,,1,1,1,36486.0,22.0,44.0,500,228,True
r5180,9336,-,9336,+,-6,,,255,,3,1,1,9445.0,109.0,218.0,500,-200,True
r5181,30037,+,30119,-,0,,,255,,0,1,1,30185.0,66.0,132.0,500,184,True
r5182,19725,+,19955,-,-5,,,255,,4,1,1,19914.0,41.0,82.0,500,291,True
r5183,13734,-,13591,+,-13,,,255,,10,1,1,13543.0,48.0,96.0,500,-202,True
r5184,47978,-,47832,+,-2,,,255,,1,1,1,47856.0,24.0,48.0,500,-274,True
r5185,43951,-,43717,+,0,,,255,,0,1,1,43746.0,29.0,58.0,500,-279,True
r5186,24046,-,23798,+,-5,,,255,,2,1,1,23850.0,52.0,104.0,500,-302,True
r5187,4876,-,4649,+,-2,,,255,,1,1,1,4695.0,46.0,92.0,500,-296,True
r5188,32717,+,32823,-,0,,,255,,0,1,1,32870.0,47.0,94.0,500,203,True
r5189,2579,+,2678,-,0,,,255,,0,1,1,2718.0,40.0,80.0,500,210,True
r5190,26848,+,26934,-,-1,,,255,,1,1,1,26985.0,51.0,102.0,500,199,True
r5191,31023,-,31023,+,-5,,,255,,3,1,1,31045.0,22.0,44.0,500,-228,True
r5193,17000,-,16967,+,-9,,,255,,5,1,1,16907.0,60.0,120.0,500,-190,True
r5194,35518,-,35505,+,-5,,,255,,4,1,1,35493.0,12.0,24.0,500,-238,True
r5195,42639,-,42639,+,-28,,,255,,6,1,1,42730.0,91.0,182.0,500,-200,True
r5196,37276,-,37159,+,-2,,,255,,1,1,1,37147.0,12.0,24.0,500,-238,True
r5197,45250,+,45327,-,-22,,,255,,7,1,1,45327.0,0.0,0.0,500,250,True
r5198,39997,-,39997,+,-5,,,255,,1,1,1,40040.0,43.0,86.0,500,-207,True
r5199,30861,-,30700,+,-4,,,255,,3,1,1,30679.0,21.0,42.0,500,-229,True
r5200,14907,+,15088,-,-14,,,255,,3,1,1,15099.0,11.0,22.0,500,239,True
r5201,32547,-,32391,+,-1,,,255,,1,1,1,32388.0,3.0,6.0,500,-247,True
r5202,28913,+,29059,-,-1,,,255,,1,1,1,29050.0,9.0,18.0,500,259,True
r5203,35382,+,35579,-,-6,,,255,,3,1,1,35586.0,7.0,14.0,500,243,True
r5204,32001,+,32176,-,-2,,,255,,1,1,1,32173.0,3.0,6.0,500,253,True
r5205,4879,+,4917,-,-1,,,255,,1,1,1,4958.0,41.0,82.0,500,209,True
r5206,37752,-,37639,+,-7,,,255,,4,1,1,37639.0,0.0,0.0,500,-250,True
r5207,42048,-,41954,+,-2,,,255,,2,1,1,41955.0,1.0,2.0,500,-251,True
r5208,5399,+,5590,-,-3,,,255,,2,1,1,5582.0,8.0,16.0,500,258,True
r5209,30030,+,30196,-,0,,,255,,0,1,1,30232.0,36.0,72.0,500,214,True
r5210,20674,+,20767,-,-3,,,255,,1,1,1,20839.0,72.0,144.0,500,178,True
r5211,21,+,21,-,-5,,,255,,1,1,1,30.0,9.0,18.0,500,241,True
r5212,11421,-,11274,+,-9,,,255,,7,1,1,11255.0,19.0,38.0,500,-231,True
r5213,32921,-,32801,+,-3,,,255,,2,1,1,32765.0,36.0,72.0,500,-214,True
r5214,14990,+,15114,-,-9,,,255,,2,1,1,15137.0,23.0,46.0,500,227,True
r5216,4467,-,4190,+,0,,,255,,0,1,1,4309.0,119.0,238.0,500,-369,True
r5217,36125,-,36020,+,-1,,,255,,1,1,1,35959.0,61.0,122.0,500,-189,True
r5218,1350,-,1226,+,-3,,,255,,1,1,1,1197.0,29.0,58.0,500,-221,True
r5219,11741,+,11835,-,-26,,,255,,17,1,1,11831.0,4.0,8.0,500,254,True
r5220,2140,-,2048,+,-8,,,255,,3,1,1,2003.0,45.0,90.0,500,-205,True
r5222,39601,-,39482,+,-11,,,255,,6,1,1,39465.0,17.0,34.0,500,-233,True
r5223,12112,-,11933,+,0,,,255,,0,1,1,11914.0,19.0,38.0,500,-231,True
r5224,47447,+,47628,-,-1,,,255,,1,1,1,47565.0,63.0,126.0,500,313,True
r5225,21382,+,21503,-,0,,,255,,0,1,1,21562.0,59.0,118.0,500,191,True
r5226,38798,-,38686,+,-1,,,255,,1,1,1,38606.0,80.0,160.0,500,-170,True
r5227,20641,-,20503,+,-1,,,255,,1,1,1,20459.0,44.0,88.0,500,-206,True
r5228,42941,-,42722,+,-7,,,255,,5,1,1,42800.0,78.0,156.0,500,-328,True
r5229,7497,+,7556,-,-6,,,255,,3,1,1,7563.0,7.0,14.0,500,243,True
r5230,4509,-,4349,+,-4,,,255,,3,1,1,4332.0,17.0,34.0,500,-233,True
r5231,25840,-,25713,+,-11,,,255,,3,1,1,25685.0,28.0,56.0,500,-222,True
r5232,28566,+,28697,-,0,,,255,,0,1,1,28769.0,72.0,144.0,500,178,True
r5233,7217,+,7259,-,-43,,,255,,22,1,1,7271.0,12.0,24.0,500,238,True
r5234,1369,+,1485,-,-10,,,255,,4,1,1,1427.0,58.0,116.0,500,308,True
r5235,18073,+,18248,-,-5,,,255,,2,1,1,18273.0,25.0,50.0,500,225,True
r5236,19303,-,19040,+,0,,,255,,0,1,1,19094.0,54.0,108.0,500,-304,True
r5237,20041,-,19883,+,-1,,,255,,1,1,1,19869.0,14.0,28.0,500,-236,True
r5238,15394,+,15568,-,-4,,,255,,3,1,1,15564.0,4.0,8.0,500,254,True
r5239,25473,+,25588,-,-4,,,255,,2,1,1,25630.0,42.0,84.0,500,208,True
r5240,46700,-,46496,+,-2,,,255,,1,1,1,46541.0,45.0,90.0,500,-295,True
r5241,10355,+,10567,-,0,,,255,,0,1,1,10498.0,69.0,138.0,500,319,True
r5242,17765,+,17912,-,-4,,,255,,3,1,1,17883.0,29.0,58.0,500,279,True
r5244,42403,-,42210,+,0,,,255,,0,1,1,42227.0,17.0,34.0,500,-267,True
r5245,9769,-,9751,+,-26,,,255,,17,1,1,9727.0,24.0,48.0,500,-226,True
r5247,27968,-,27835,+,-5,,,255,,1,1,1,27838.0,3.0,6.0,500,-253,True
r5248,8062,-,8062,+,-7,,,255,,3,1,1,8217.0,155.0,310.0,500,-230,True
r5249,4341,-,4199,+,0,,,255,,0,1,1,4165.0,34.0,68.0,500,-216,True
r5251,4643,-,4441,+,0,,,255,,0,1,1,4499.0,58.0,116.0,500,-308,True
r5252,29093,-,28966,+,-10,,,255,,7,1,1,29001.0,35.0,70.0,500,-285,True
r5253,25718,+,25814,-,-1,,,255,,1,1,1,25781.0,33.0,66.0,500,283,True
r5254,24482,+,24539,-,-8,,,255,,3,1,1,24616.0,77.0,154.0,500,173,True
r5255,42719,+,42916,-,-17,,,255,,6,1,1,42911.0,5.0,10.0,500,255,True
r5256,29245,-,29188,+,-1,,,255,,1,1,1,29187.0,1.0,2.0,500,-249,True
r5257,39072,-,38859,+,0,,,255,,0,1,1,38862.0,3.0,6.0,500,-253,True
r5259,6371,-,6204,+,0,,,255,,0,1,1,6225.0,21.0,42.0,500,-271,True
r5260,45552,-,45368,+,-16,,,255,,4,1,1,45403.0,35.0,70.0,500,-285,True
r5261,43568,-,43384,+,-8,,,255,,3,1,1,43426.0,42.0,84.0,500,-292,True
r5262,7781,+,7781,-,-6,,,255,,4,1,1,7800.0,19.0,38.0,500,231,True
r5263,30084,+,30226,-,-5,,,255,,1,1,1,30279.0,53.0,106.0,500,197,True
r5264,31611,-,31437,+,-2,,,255,,2,1,1,31458.0,21.0,42.0,500,-271,True
r5265,39834,+,39972,-,-25,,,255,,7,1,1,40013.0,41.0,82.0,500,209,True
r5266,26308,-,26308,+,-12,,,255,,5,1,1,26509.0,201.0,402.0,500,-227,True
r5267,19859,-,19706,+,-4,,,255,,1,1,1,19689.0,17.0,34.0,500,-233,True
r5268,46503,+,46632,-,-1,,,255,,1,1,1,46586.0,46.0,92.0,500,296,True
r5269,29652,-,29566,+,0,,,255,,0,1,1,29488.0,78.0,156.0,500,-172,True
r5270,35440,+,35633,-,-3,,,255,,3,1,1,35645.0,12.0,24.0,500,238,True
r5271,40220,-,40055,+,-8,,,255,,6,1,1,40161.0,106.0,212.0,500,-356,True
r5272,35517,+,35628,-,-1,,,255,,1,1,1,35690.0,62.0,124.0,500,188,True
r5273,37623,+,37623,-,-1,,,255,,1,1,1,37674.0,51.0,102.0,500,199,True
r5274,15404,+,15610,-,0,,,255,,0,1,1,15572.0,38.0,76.0,500,288,True
r5275,15137,-,14943,+,-5,,,255,,4,1,1,14954.0,11.0,22.0,500,-261,True
r5276,42232,-,42221,+,-4,,,255,,4,1,1,42195.0,26.0,52.0,500,-224,True
r5277,35910,+,36030,-,0,,,255,,0,1,1,36117.0,87.0,174.0,500,163,True
r5278,23384,-,23233,+,-18,,,255,,12,1,1,23205.0,28.0,56.0,500,-222,True
r5279,34434,+,34691,-,-12,,,255,,2,1,1,34627.0,64.0,128.0,500,314,True
r5280,21098,+,21221,-,-2,,,255,,1,1,1,21231.0,10.0,20.0,500,240,True
r5281,33077,-,33077,+,-17,,,255,,6,1,1,33141.0,64.0,128.0,500,-207,True
r5283,19755,+,19930,-,-5,,,255,,2,1,1,19940.0,10.0,20.0,500,240,True
r5285,41586,+,41668,-,-11,,,255,,2,1,1,41626.0,42.0,84.0,500,292,True
r5286,4709,+,4858,-,-1,,,255,,1,1,1,4893.0,35.0,70.0,500,215,True
r5287,35288,-,35206,+,-12,,,255,,11,1,1,35224.0,18.0,36.0,500,-268,True
r5288,40840,-,40623,+,-3,,,255,,1,1,1,40664.0,41.0,82.0,500,-291,True
r5289,8680,+,8881,-,0,,,255,,0,1,1,8857.0,24.0,48.0,500,274,True
r5290,42398,+,42405,-,0,,,255,,0,1,1,42435.0,30.0,60.0,500,220,True
r5291,21892,+,22033,-,-29,,,255,,10,1,1,21992.0,41.0,82.0,500,291,True
r5292,30602,+,30757,-,-5,,,255,,1,1,1,30757.0,0.0,0.0,500,250,True
r5293,3293,-,3077,+,-6,,,255,,3,1,1,3150.0,73.0,146.0,500,-323,True
r5294,19970,-,19903,+,-7,,,255,,3,1,1,19955.0,52.0,104.0,500,-302,True
r5295,30393,-,30219,+,-14,,,255,,5,1,1,30236.0,17.0,34.0,500,-267,True
r5296,18898,-,18713,+,-1,,,255,,1,1,1,18688.0,25.0,50.0,500,-225,True
r5297,35287,+,35287,-,-5,,,255,,4,1,1,35297.0,10.0,20.0,500,240,True
r5298,30473,-,30275,+,0,,,255,,0,1,1,30318.0,43.0,86.0,500,-293,True
r5300,3021,+,3199,-,-5,,,255,,1,1,1,3143.0,56.0,112.0,500,306,True
r5302,41223,+,41395,-,-45,,,255,,14,1,1,41387.0,8.0,16.0,500,258,True
r5303,29004,-,28940,+,-6,,,255,,5,1,1,28911.0,29.0,58.0,500,-221,True
r5304,47860,+,48084,-,0,,,255,,0,1,1,48051.0,33.0,66.0,500,283,True
r5305,5228,+,5354,-,-1,,,255,,1,1,1,5436.0,82.0,164.0,500,168,True
r5306,17643,+,17704,-,-9,,,255,,2,1,1,17708.0,4.0,8.0,500,246,True
r5308,24205,+,24261,-,-5,,,255,,3,1,1,24281.0,20.0,40.0,500,230,True
r5310,28157,-,27996,+,-2,,,255,,2,1,1,28007.0,11.0,22.0,500,-261,True
r5311,20447,+,20518,-,0,,,255,,0,1,1,20602.0,84.0,168.0,500,166,True
r5312,20131,-,20092,+,-5,,,255,,2,1,1,20002.0,90.0,180.0,500,-160,True
r5313,6992,+,7187,-,-1,,,255,,1,1,1,7194.0,7.0,14.0,500,243,True
r5314,36449,-,36280,+,-9,,,255,,2,1,1,36262.0,18.0,36.0,500,-232,True
r5315,46266,+,46453,-,-1,,,255,,1,1,1,46397.0,56.0,112.0,500,306,True
r5316,41073,-,40865,+,-10,,,255,,8,1,1,40890.0,25.0,50.0,500,-275,True
r5317,36533,+,36749,-,0,,,255,,0,1,1,36689.0,60.0,120.0,500,310,True
r5318,4610,+,4745,-,0,,,255,,0,1,1,4743.0,2.0,4.0,500,252,True
r5319,34943,+,34943,-,-20,,,255,,7,1,1,34967.0,24.0,48.0,500,226,True
r5320,15090,-,14907,+,0,,,255,,0,1,1,14897.0,10.0,20.0,500,-240,True
r5321,43643,-,43398,+,-2,,,255,,1,1,1,43442.0,44.0,88.0,500,-294,True
r5322,9064,-,8958,+,0,,,255,,0,1,1,8948.0,10.0,20.0,500,-240,True
r5323,43097,+,43126,-,-1,,,255,,1,1,1,43173.0,47.0,94.0,500,203,True
r5324,37861,-,37711,+,0,,,255,,0,1,1,37653.0,58.0,116.0,500,-192,True
r5325,45013,+,45178,-,-5,,,255,,1,1,1,45177.0,1.0,2.0,500,251,True
r5326,14935,-,14782,+,0,,,255,,0,1,1,14833.0,51.0,102.0,500,-301,True
